"mfr" "calories" "protein" "fat" "sodium" "fiber" "carbo" "sugars" "potass" "vitamins" "shelf" "rating"
"N" 140 5.33333333333333 1.33333333333333 130 13.3333333333333 7.46268656716418 8.95522388059701 373.333333333333 20 3 68.402973
"O" 240 4 6.66666666666667 15 2.66666666666667 11.9402985074627 11.9402985074627 180 0 3 33.983679
"K" 140 5.33333333333333 1.33333333333333 260 12 10.4477611940298 7.46268656716418 426.666666666667 20 3 59.425505
"K" 100 5.33333333333333 0 140 18.6666666666667 11.9402985074627 0 440 20 3 93.704912
"O" 220 2.66666666666667 2.66666666666667 200 1.33333333333333 20.8955223880597 11.9402985074627 NA 20 3 34.384843
"G" 220 2.66666666666667 2.66666666666667 180 2 15.6716417910448 14.9253731343284 93.3333333333333 20 1 29.509541
"K" 220 2.66666666666667 0 125 1.33333333333333 16.4179104477612 20.8955223880597 40 20 2 33.174094
"G" 260 4 2.66666666666667 210 2.66666666666667 26.865671641791 11.9402985074627 133.333333333333 20 3 37.038562
"O" 180 2.66666666666667 1.33333333333333 200 5.33333333333333 22.3880597014925 8.95522388059701 166.666666666667 20 1 49.120253
"O" 180 4 0 210 6.66666666666667 19.4029850746269 7.46268656716418 253.333333333333 20 3 53.313813
"O" 240 1.33333333333333 2.66666666666667 220 0 17.910447761194 17.910447761194 46.6666666666667 20 2 18.042851
"G" 220 8 2.66666666666667 290 2.66666666666667 25.3731343283582 1.49253731343284 140 20 1 50.764999
"G" 240 1.33333333333333 4 210 0 19.4029850746269 13.4328358208955 60 20 2 19.823573
"G" 220 4 2.66666666666667 140 2.66666666666667 19.4029850746269 10.4477611940298 140 20 3 40.400208
"G" 220 1.33333333333333 1.33333333333333 180 0 17.910447761194 19.4029850746269 73.3333333333333 20 2 22.736446
"O" 220 2.66666666666667 0 280 0 32.8358208955224 4.47761194029851 33.3333333333333 20 1 41.445019
"K" 200 2.66666666666667 0 290 1.33333333333333 31.3432835820896 2.98507462686567 46.6666666666667 20 1 45.863324
"K" 220 1.33333333333333 0 90 1.33333333333333 19.4029850746269 17.910447761194 26.6666666666667 20 2 35.782791
"G" 220 1.33333333333333 1.33333333333333 180 0 17.910447761194 19.4029850746269 86.6666666666667 20 2 22.396513
"K" 220 4 4 140 5.33333333333333 14.9253731343284 10.4477611940298 213.333333333333 20 3 40.448772
"N" 200 4 0 80 1.33333333333333 31.3432835820896 0 NA 0 2 64.533816
"K" 220 2.66666666666667 0 220 1.33333333333333 31.3432835820896 4.47761194029851 40 20 3 46.895644
"G" 200 2.66666666666667 1.33333333333333 140 2.66666666666667 16.4179104477612 14.9253731343284 160 20 3 36.176196
"O" 200 2.66666666666667 0 190 1.33333333333333 26.865671641791 7.46268656716418 106.666666666667 20 3 44.330856
"K" 220 2.66666666666667 1.33333333333333 125 1.33333333333333 16.4179104477612 19.4029850746269 40 20 2 32.207582
"K" 220 1.33333333333333 0 200 1.33333333333333 20.8955223880597 16.4179104477612 33.3333333333333 20 1 31.435973
"K" 200 4 0 0 4 20.8955223880597 10.4477611940298 133.333333333333 20 2 58.345141
"O" 240 4 2.66666666666667 160 6.66666666666667 17.910447761194 14.9253731343284 266.666666666667 20 3 40.917047
"K" 240 4 0 240 6.66666666666667 20.8955223880597 17.910447761194 253.333333333333 20 3 41.015492
"O" 220 1.33333333333333 1.33333333333333 135 0 19.4029850746269 17.910447761194 33.3333333333333 20 2 28.025765
"O" 200 2.66666666666667 0 45 0 16.4179104477612 22.3880597014925 53.3333333333333 20 1 35.252444
"G" 220 1.33333333333333 1.33333333333333 280 0 22.3880597014925 13.4328358208955 60 20 2 23.804043
"O" 200 4 1.33333333333333 140 4 22.3880597014925 7.46268656716418 113.333333333333 20 3 52.076897
"O" 220 4 0 170 4 25.3731343283582 4.47761194029851 120 20 3 53.371007
"O" 240 4 4 75 4 19.4029850746269 5.97014925373134 133.333333333333 20 3 45.811716
"O" 240 1.33333333333333 2.66666666666667 220 1.33333333333333 17.910447761194 16.4179104477612 60 20 2 21.871292
"G" 220 4 1.33333333333333 250 2 17.1641791044776 14.9253731343284 120 20 1 31.072217
"O" 220 1.33333333333333 0 180 0 20.8955223880597 16.4179104477612 46.6666666666667 20 1 28.742414
"K" 220 2.66666666666667 1.33333333333333 170 1.33333333333333 25.3731343283582 8.95522388059701 80 80 3 36.523683
"K" 280 4 1.33333333333333 170 2.66666666666667 29.8507462686567 13.4328358208955 126.666666666667 80 3 36.471512
"G" 220 2.66666666666667 1.33333333333333 260 0 31.3432835820896 4.47761194029851 53.3333333333333 20 2 39.241114
"O" 200 5.33333333333333 2.66666666666667 150 2.66666666666667 17.910447761194 8.95522388059701 126.666666666667 20 2 45.328074
"G" 220 2.66666666666667 1.33333333333333 180 0 17.910447761194 17.910447761194 73.3333333333333 20 2 26.734515
"O" 200 5.33333333333333 1.33333333333333 0 0 23.8805970149254 4.47761194029851 126.666666666667 20 2 54.850917
"O" 300 5.33333333333333 4 95 4 23.8805970149254 16.4179104477612 226.666666666667 20 3 37.136863
"O" 300 5.33333333333333 4 150 4 23.8805970149254 16.4179104477612 226.666666666667 20 3 34.139765
"K" 320 4 2.66666666666667 150 4 25.3731343283582 19.4029850746269 213.333333333333 20 3 30.313351
"G" 200 2.66666666666667 1.33333333333333 220 2.66666666666667 22.3880597014925 8.95522388059701 120 20 1 40.105965
"K" 240 2.66666666666667 1.33333333333333 190 0 22.3880597014925 13.4328358208955 53.3333333333333 20 2 29.924285
"K" 280 4 2.66666666666667 220 4 31.3432835820896 10.4477611940298 173.333333333333 20 3 40.69232
"K" 180 4 0 170 4 26.865671641791 2.98507462686567 120 20 3 59.642837
"G" 260 4 2.66666666666667 170 2 20.1492537313433 14.9253731343284 160 20 3 30.450843
"O" 240 4 1.33333333333333 200 8 16.4179104477612 20.8955223880597 346.666666666667 20 3 37.840594
"K" 200 4 0 320 1.33333333333333 29.8507462686567 4.47761194029851 60 80 3 41.50354
"O" 100 1.33333333333333 0 0 0 19.4029850746269 0 20 0 3 60.756112
"O" 100 2.66666666666667 0 0 1.33333333333333 14.9253731343284 0 66.6666666666667 0 3 63.005645
"O" 200 5.33333333333333 1.33333333333333 135 2.66666666666667 20.8955223880597 8.95522388059701 146.666666666667 20 3 49.511874
"O" 200 6.66666666666667 2.66666666666667 0 3.6 NA NA 146.666666666667 0 1 50.828392
"K" 240 4 1.33333333333333 210 6.66666666666667 20.8955223880597 17.910447761194 320 20 2 39.259197
"G" 200 4 2.66666666666667 140 3.33333333333333 15.6716417910448 11.9402985074627 186.666666666667 20 3 39.7034
"K" 180 2.66666666666667 0 0 2.66666666666667 22.3880597014925 8.95522388059701 146.666666666667 20 3 55.333142
"O" 220 1.33333333333333 0 240 0 34.3283582089552 2.98507462686567 40 20 1 41.998933
"K" 220 2.66666666666667 0 290 0 32.8358208955224 4.47761194029851 46.6666666666667 20 1 40.560159
"N" 160 2.66666666666667 0 0 4 23.8805970149254 0 126.666666666667 0 1 68.235885
"N" 180 4 0 0 5.33333333333333 28.3582089552239 0 186.666666666667 0 1 74.472949
"N" 180 4 0 0 4 29.8507462686567 0 160 0 1 72.801787
"K" 220 2.66666666666667 1.33333333333333 70 1.33333333333333 13.4328358208955 22.3880597014925 53.3333333333333 20 2 31.230054
"K" 220 8 0 230 1.33333333333333 23.8805970149254 4.47761194029851 73.3333333333333 20 1 53.131324
